runt_code,name
969,MALAGUTI
970,ARCTIC CAT
971,DCEC
972,TOURING
973,HIGER
975,CFMOTO
976,TEMPEST
977,FUXIN
978,XRP SAIN
979,HENSIM
980,SANLEE
981,AUTECO VICTORY
982,TEAM RYDER
983,HUALIN
984,SHACMAN
985,BOUE
986,AVA MOTORS
987,SUMA
988,SM
989,BARHOG/DADYW
990,MOTOKART
991,MANZINI
992,YONGKANG EASY VEHICLE
993,MITSUBISHI FUSO
994,ISHIMOTO
995,ASA
996,ESSEX
997,KHOOBRA
998,YAKEY
999,GREENWHEEL
1000,TORNADO
1001,HAIMA
1002,SMA
1003,VOLDA
1004,HISUN TIGER
1006,TRACTOCASA
1007,AWS - ALIEN WORK SHOP
1008,JIANGSU SINSKI
1009,LINGKEN
1010,YGM
1011,WANCH
1012,TAO TAO
1013,GALAXI
1014,PACIFIC
1015,BYVIN
1016,JIASHITE
1017,ENERGY MOTION
1018,HPOWER
1019,YADEA
1020,JLC
1021,ADVANCE
1022,JIAJUE
1023,ETX
1024,JBC
1025,DFA
1026,E-ONE
1027,DETROIT
1028,KMO
1029,HUNTER
1030,THOMAS BUILT BUSES
1031,LOVOL
1032,D LONG
1033,TAYLOR DUNN
1034,HAORI
1035,SHELBY
1036,VMOTO
1037,CARPATI
1038,LUCKY LION
1039,CLC MOTOR
1040,MAHINDRA DURO
1041,BENLING
1042,OULING
1043,YAXING
1044,HANLING
1045,ZNA
1046,HUANGHAI
1047,DADI
1048,KING LONG
1049,ESCORPIO
1050,DFSK
1051,OLIYA
1052,GSMOON
1053,BERA
1054,XGJAO
1055,SENKE
1056,LANGQING
1057,AWS
1058,HONOR
1059,JAUNCE
1060,ZILI MOTORS
1061,ALFA
1062,ASIA HERO
1063,SINOTRUK
1064,POLARSUN
1065,UD TRUCKS
1066,JUNCHI
1067,SELVAXTREMA
1068,MOFFETT
1069,FASTER
1070,MIKILON
1071,SANYOU
1072,GAME
1073,FENIX
1074,INDUSTRY
1075,GBMCO
1076,GVMCO
1077,HS-HSUN
1078,T-KING
1079,SEIKI
1080,HEIL TRAILER INTERNATIONAL
1081,PPM
1082,PAILISON
1083,ROAD SPORT
1084,ZOOMLION
1085,JINLUN
1086,RENLI
1087,SHERCO
1088,HARRIS
1089,AGUILA
1090,HIOSUNG
1091,MIGARGI
1092,WINDAR
1093,SHIFENG
1094,E- MAX
1095,HERSA
1096,SULTANA
1097,CARTER
1098,EMPIRE
1099,VDL
1100,CNJ
1101,TAYRONA
1102,SHAANQI
1103,RG
1104,TARANTULA
1105,UPBEAT MOTOR
1106,JEREH
1107,CHALLENGER LOWBOY
1108,MOTOABC
1109,BLUE BIRD
1110,GREENTRANS
1111,SHANDONG
1112,MODASA
1113,RTM
1114,CVT RATO
1115,ATV RATO
1116,KAMAJI
1117,FOSHAN CITYFOSTI
1118,HME
1119,S/M FAB
1120,DANDONG HUANGHAI
1121,ZONDA SOL
1122,KING STEYR
1123,HYDUKE
1124,BON LUCK
1125,AM GENERAL
1126,SHENKE
1127,BEI BEN
1128,FRANKS
1129,SIMON DUPLEX
1130,KAXAMOTOS
1131,CAN AM BOMBARDIER
1132,FEIZHEN
1133,VAISAND
1134,DFAC –DONG FENG
1135,FAUN/TADANO
1136,LLOCATELI
1137,STRONG
1138,IDECO
1139,BUCEGI
1140,HAI XING
1141,WOLSELEY
1142,HUASHA
1143,SHENLI
1144,LINYU
1145,HONGOI
1146,ZERO
1147,CIBER
1148,RATO
1149,KW-B800
1150,UNICO
1151,BAIBEN TRUCK
1152,ANIVER
1153,LANDINI
1154,TOPTOM
1155,RIEJU
1156,IVECO MAGIRUS
1157,LINTEX
1158,BERING
1159,BRILLIANCE
1160,YONGKANG
1161,LIANGZI
1162,TONGHUA
1163,TAYLOR INDUSTRIES
1164,YOUNGMAN
1165,LIZHONG
1166,AMERICAN LA FRANCE
1167,PEMFAB
1168,KING ROAD
1169,JUPITER
1170,ESCUTER
1171,WHITE WESTERN
1172,ECO JAMCHA
1173,RIYA MOTORA
1174,IVECO FIAT
1175,JOYLONG
1177,HARDKNOCK
1178,SPYDER
1179,FEISHEN
1180,TENNANT
1181,GREEN
1182,SAN JI
1183,THUMB
1184,ZHONGPONG
1185,NAVISTAR
1186,SI JI
1187,ZHONGTONG
1188,IPV
1189,DEYI
1190,HONOR-QJ
1191,AN YUAN
1192,S&C
1193,JINLING TIGERS
